Date,Open,High,Low,Close,Adj Close,Volume
05-01-2004,34956.21403,35528.025,35528.025,35687.79549,35687.79549,20
06-01-2004,35687.79549,35679.38597,35679.38597,35553.25097,35553.25097,20
07-01-2004,35570.07,35570.07,35570.07,35477.57049,35477.57049,20
08-01-2004,35477.57049,35485.98,35485.98,35654.16,35654.16,20
09-01-2004,35654.16,35645.75049,35645.75049,35855.97549,35855.97549,20
12-01-2004,35805.52097,36007.33903,35805.52097,35847.56597,35847.56597,3
13-01-2004,35771.88549,35813.93049,35570.07,35628.93403,35628.93403,12
14-01-2004,35460.75403,35460.75403,35460.75403,35460.75403,35460.75403,12
15-01-2004,35469.16097,35485.98,35485.98,34342.35549,34342.35549,12
16-01-2004,34333.94597,34333.94597,34333.94597,34199.40403,34199.40403,12
20-01-2004,34199.40403,34199.40403,34199.40403,34703.94403,34703.94403,12
21-01-2004,34695.53451,34695.53451,34695.53451,34569.39951,34569.39951,2
22-01-2004,34586.21597,34586.21597,34586.21597,34476.9,34476.9,2
23-01-2004,34300.31049,34300.31049,34300.31049,34300.31049,34300.31049,2
26-01-2004,34190.99451,34190.99451,34190.99451,34190.99451,34190.99451,2
27-01-2004,34476.9,34476.9,34476.9,34476.9,34476.9,2
28-01-2004,34855.305,34855.305,34855.305,34855.305,34855.305,76523
29-01-2004,34645.08,34645.08,33341.685,33509.865,33509.865,42434
30-01-2004,33467.82,33854.63451,33467.82,33820.99903,33820.99903,13533
02-02-2004,33888.27,33913.49597,33131.46,33526.68403,33526.68403,2646
03-02-2004,33509.865,33888.27,33509.865,33568.72903,33568.72903,490
04-02-2004,33619.18097,33745.31597,33509.865,33720.09,33720.09,977
05-02-2004,33585.54549,33661.22597,33425.775,33476.22951,33476.22951,131
06-02-2004,33383.73,34224.63,33383.73,33938.72451,33938.72451,313
09-02-2004,33955.54097,34266.675,33955.54097,34207.81097,34207.81097,101
10-02-2004,34249.85597,34518.945,34249.85597,34174.17549,34174.17549,71
11-02-2004,34291.90097,34645.08,34140.54,34493.71903,34493.71903,134
12-02-2004,34636.67049,34771.215,34476.9,34788.03403,34788.03403,146
13-02-2004,34703.94403,34981.44,34308.72,34502.12597,34502.12597,146
17-02-2004,34813.26,34930.98549,34762.80549,34981.44,34981.44,146
18-02-2004,34880.53097,34922.57597,34645.08,34670.30597,34670.30597,146
19-02-2004,34560.99,34586.21597,34392.81,34460.08097,34460.08097,63
20-02-2004,34392.81,34392.81,33215.55,33425.775,33425.775,109
23-02-2004,33551.91,33652.81903,33551.91,33551.91,33551.91,162
24-02-2004,33770.54451,33905.08903,33551.91,34014.405,34014.405,77
25-02-2004,34039.63097,34039.63097,33215.55,33282.82097,33282.82097,31
26-02-2004,33223.95951,33223.95951,33223.95951,33282.82097,33282.82097,40
27-02-2004,33223.95951,33215.55,33215.55,33333.27549,33333.27549,2
01-03-2004,33333.27549,33333.27549,33333.27549,33577.13597,33577.13597,2
02-03-2004,33425.775,33535.09097,33089.415,33089.415,33089.415,104
03-03-2004,32887.59951,32904.41597,32887.59951,32996.91549,32996.91549,4
04-03-2004,33198.73097,33198.73097,33047.37,33038.96049,33038.96049,86
05-03-2004,33720.09,33720.09,33720.09,33745.31597,33745.31597,1
08-03-2004,33593.955,33593.955,33551.91,33686.45451,33686.45451,11
09-03-2004,33778.95403,33837.81549,33736.90903,33989.17903,33989.17903,5
10-03-2004,33636,33636,33636,33636,33636,1
11-03-2004,33568.72903,33560.31951,33560.31951,33694.86403,33694.86403,5
12-03-2004,33240.77597,33240.77597,33240.77597,33240.77597,33240.77597,5
15-03-2004,33585.54549,33585.54549,33585.54549,33585.54549,33585.54549,5
16-03-2004,33804.18,33804.18,33804.18,33837.81549,33837.81549,8
17-03-2004,33846.225,33972.36,33972.36,34216.22049,34216.22049,8
18-03-2004,34569.39951,34569.39951,34569.39951,34569.39951,34569.39951,8
19-03-2004,34645.08,34645.08,34645.08,34687.125,34687.125,16
22-03-2004,35099.16549,35099.16549,35099.16549,35099.16549,35099.16549,2
23-03-2004,35099.16549,35099.16549,35099.16549,35300.98097,35300.98097,2
24-03-2004,35082.34903,35082.34903,35082.34903,35082.34903,35082.34903,2
25-03-2004,34981.44,35065.53,34981.44,35040.30403,35040.30403,8
26-03-2004,35485.98,35485.98,35485.98,35494.38951,35494.38951,8
29-03-2004,35494.38951,35494.38951,35494.38951,35073.93951,35073.93951,64296
30-03-2004,35023.485,35687.79549,35023.485,35460.75403,35460.75403,36663
31-03-2004,35401.89,35990.52,35368.25451,35931.65597,35931.65597,4496
01-04-2004,35923.24903,36326.88,35696.205,35973.70097,35973.70097,1561
02-04-2004,35872.79451,36074.61,35107.575,35452.34451,35452.34451,1455
05-04-2004,35452.34451,35452.34451,34813.26,34930.98549,34930.98549,572
06-04-2004,34947.80451,35300.98097,34947.80451,35225.30049,35225.30049,202
07-04-2004,35225.30049,35620.52451,35132.80097,35553.25097,35553.25097,381
08-04-2004,35595.29597,35595.29597,35233.71,35309.39049,35309.39049,790
12-04-2004,35410.29951,35494.38951,35149.62,35326.20951,35326.20951,39
13-04-2004,35132.80097,35132.80097,34140.54,34224.63,34224.63,496
14-04-2004,34249.85597,34300.31049,33551.91,33619.18097,33619.18097,161
15-04-2004,33720.09,33720.09,33341.685,33442.59403,33442.59403,333
16-04-2004,33602.36451,33820.99903,33509.865,33720.09,33720.09,177
19-04-2004,34022.81451,34022.81451,33652.81903,33686.45451,33686.45451,76
20-04-2004,33661.22597,33661.22597,33366.91097,33442.59403,33442.59403,49
21-04-2004,33081.00549,33215.55,32795.1,32862.37097,32862.37097,63
22-04-2004,32837.145,33089.415,32837.145,33072.59597,33072.59597,50
23-04-2004,33047.37,33366.91097,33047.37,33223.95951,33223.95951,41
26-04-2004,33341.685,33358.50403,33324.86597,33299.64,33299.64,45
27-04-2004,33442.59403,33551.91,33282.82097,33518.27451,33518.27451,61
28-04-2004,33257.595,33299.64,32298.96951,32408.28549,32408.28549,19
29-04-2004,31954.2,32458.74,31954.2,32509.19451,32509.19451,6
30-04-2004,32711.01,32711.01,32711.01,32542.83,32542.83,2
03-05-2004,32542.83,32542.83,32542.83,32542.83,32542.83,4
04-05-2004,32963.28,32963.28,32963.28,32912.82549,32912.82549,2
05-05-2004,32912.82549,32912.82549,32912.82549,33081.00549,33081.00549,0
06-05-2004,32559.64903,32559.64903,32559.64903,32626.92,32626.92,1
07-05-2004,32635.32951,31701.93,31701.93,31844.88403,31844.88403,3
10-05-2004,31836.47451,31836.47451,31836.47451,31811.24597,31811.24597,0
11-05-2004,31693.52049,31693.52049,31693.52049,31693.52049,31693.52049,0
12-05-2004,31735.56549,31735.56549,31735.56549,31735.56549,31735.56549,0
13-05-2004,31735.56549,31735.56549,31735.56549,31516.93097,31516.93097,20
14-05-2004,31701.93,31701.93,31701.93,31701.93,31701.93,5
17-05-2004,31912.155,31912.155,31912.155,31912.155,31912.155,0
18-05-2004,31601.02097,31601.02097,31601.02097,31601.02097,31601.02097,0
19-05-2004,32198.06049,32198.06049,32198.06049,32198.06049,32198.06049,0
20-05-2004,32189.65097,32189.65097,32189.65097,31819.65549,31819.65549,0
21-05-2004,32357.83097,32357.83097,32357.83097,32357.83097,32357.83097,0
24-05-2004,32425.10451,32425.10451,32425.10451,32425.10451,32425.10451,0
25-05-2004,32652.14597,32652.14597,32652.14597,32652.14597,32652.14597,0
26-05-2004,32652.14597,32652.14597,32652.14597,32652.14597,32652.14597,81917
27-05-2004,32643.73903,33291.23049,32635.32951,33207.14049,33207.14049,53047
28-05-2004,33240.77597,33324.86597,33013.73451,33131.46,33131.46,9836
01-06-2004,33123.05049,33551.91,33072.59597,33181.91451,33181.91451,1864
02-06-2004,33173.505,33425.775,32795.1,32853.96403,32853.96403,937
03-06-2004,32853.96403,33047.37,32576.46549,32635.32951,32635.32951,601
04-06-2004,32660.55549,32921.235,32416.695,32870.78049,32870.78049,234
07-06-2004,33013.73451,33131.46,32963.28,33114.64097,33114.64097,130
08-06-2004,33114.64097,33215.55,32820.32597,32879.19,32879.19,611
09-06-2004,32929.64451,32929.64451,32206.47,32332.605,32332.605,543
10-06-2004,32399.87597,32416.695,32332.605,32450.33049,32450.33049,71
14-06-2004,32256.92451,32399.87597,32206.47,32256.92451,32256.92451,209
15-06-2004,32214.87951,32668.965,32206.47,32635.32951,32635.32951,51
16-06-2004,32500.785,32500.785,32248.515,32341.01451,32341.01451,102
17-06-2004,32399.87597,32399.87597,32399.87597,32702.60049,32702.60049,17
18-06-2004,32963.28,33333.27549,33047.37,33223.95951,33223.95951,108
21-06-2004,33181.91451,33181.91451,33064.18903,33131.46,33131.46,133
22-06-2004,33131.46,33341.685,33131.46,33215.55,33215.55,56
23-06-2004,33257.595,33400.54903,33173.505,33215.55,33215.55,50
24-06-2004,33181.91451,33947.13403,33181.91451,33896.67951,33896.67951,148
25-06-2004,33829.40597,33938.72451,33745.31597,33879.86049,33879.86049,189
28-06-2004,33888.27,34056.45,33745.31597,33720.09,33720.09,2
29-06-2004,33652.81903,33652.81903,33467.82,33005.325,33005.325,5
30-06-2004,33249.18549,33249.18549,33156.68597,33013.73451,33013.73451,146
01-07-2004,33299.64,33299.64,33299.64,33299.64,33299.64,146
02-07-2004,33299.64,33400.54903,33400.54903,33493.04597,33493.04597,20
